Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,32,CrossEntropyLoss,Adam,0.609859943,0.655199647,0.661834657,0.612540066
2,32,CrossEntropyLoss,Adam,0.708245575,0.56906718,0.747472584,0.515579641
3,32,CrossEntropyLoss,Adam,0.780938387,0.470947117,0.812277138,0.416648299
4,32,CrossEntropyLoss,Adam,0.831204832,0.386232227,0.810903072,0.40695554
5,32,CrossEntropyLoss,Adam,0.857476413,0.332174003,0.83798629,0.368455261
6,32,CrossEntropyLoss,Adam,0.879381657,0.282521993,0.870654404,0.30070737
7,32,CrossEntropyLoss,Adam,0.8998909,0.242831767,0.854874432,0.339820117
8,32,CrossEntropyLoss,Adam,0.912802398,0.209413499,0.880184472,0.289584339
9,32,CrossEntropyLoss,Adam,0.931353807,0.171021357,0.87943095,0.299358308
10,32,CrossEntropyLoss,Adam,0.945611,0.137490049,0.865468264,0.407970518
