Epoch,Batch Size,Loss,Optimizer,Train Accuracy,Train Loss,Validation Accuracy,Validation Loss
1,8,MultiMarginLoss,RMSprop,0.6191,0.4065,0.3322,0.1712
2,8,MultiMarginLoss,RMSprop,0.7231,0.2942,0.3522,0.1574
3,8,MultiMarginLoss,RMSprop,0.7639,0.2513,0.3849,0.1199
4,8,MultiMarginLoss,RMSprop,0.79,0.2241,0.3943,0.116
5,8,MultiMarginLoss,RMSprop,0.8097,0.2025,0.3623,0.1524
6,8,MultiMarginLoss,RMSprop,0.823,0.1895,0.4136,0.0913
7,8,MultiMarginLoss,RMSprop,0.8388,0.1726,0.3894,0.1137
8,8,MultiMarginLoss,RMSprop,0.8465,0.1656,0.4061,0.0961
9,8,MultiMarginLoss,RMSprop,0.8524,0.1572,0.4267,0.0767
10,8,MultiMarginLoss,RMSprop,0.8612,0.1484,0.4219,0.0832
